initial,algorithm,heuristic,bound,final,explored,time
213263124457574586689891379123123243596456568487789719913178346456253782728649591,best_first_graph_search,conflicts,100,,101,39.76222
149234712567856346238917589142128137356356425978749689192613273345284546678795198,best_first_graph_search,conflicts,100,,101,257.438856
416314234327568156589297789612241812345536549789789367132162213456478657789359498,best_first_graph_search,conflicts,100,,101,73.289761
123189143456536256789742789132123234456456598789789176723124142516795637849683895,best_first_graph_search,conflicts,100,,101,64.341588
123156123456937456789842789236123214574864596198579738528123176346567253791894489,best_first_graph_search,conflicts,100,,101,81.70261799999997
134614132675253495892789678124134123596725457378698986283521134564347526719689789,best_first_graph_search,conflicts,100,,101,74.33632399999999
139214234245573687768689195245123128781945345369678679124234149356586325789791867,best_first_graph_search,conflicts,100,,101,114.53784999999993
841123231273456467569789859124123524563654317789789689413932123967851456285467798,best_first_graph_search,conflicts,100,,101,36.92645900000002
354123162761456357892789894139124123426359456758678789125213312846487456793956789,best_first_graph_search,conflicts,100,,101,74.76546699999994
284721235561346697739589841173124126245563458869789739123347512456158637789629894,best_first_graph_search,conflicts,100,,101,92.490546
128273145345145368679869297512134124346586578789729639234251142157367358689849769,best_first_graph_search,conflicts,100,,101,52.97418899999991
185142912346678345729359678312235263456461457897798819162456123394738574578129869,best_first_graph_search,conflicts,100,,101,94.2654399999999
182364124345172356679859879125192234678345157349678689172213294346458351859679678,best_first_graph_search,conflicts,100,,101,92.8031840000001
234134173715578246869692958152142184934356527678789693234125132567864457891793896,best_first_graph_search,conflicts,100,,101,93.822048
123123134567954567894786829173152162459486378682793594123172142456345536789689789,best_first_graph_search,conflicts,100,,101,23.62071100000003
123231624467485573859769891123134823456526417978789965182215179345367283697849456,best_first_graph_search,conflicts,100,,101,402.28171
123172128467835345895694679235124314168537952947689678516341123289625564347798789,best_first_graph_search,conflicts,100,,101,39.65357300000005
123152123657394457489768869129435136456261578783789924123132213576457485849689679,best_first_graph_search,conflicts,100,,101,44.39757399999985
213183273458462456679759819142123718567567523893489496263245127941368458578971639,best_first_graph_search,conflicts,100,,101,38.493850000000066
912712512345634647867589839124173134573264576896589289239136123456478675781952489,best_first_graph_search,conflicts,100,,101,126.78896199999986
346241127152685364789739589123813249456524163789679875182235213347647456569819789,best_first_graph_search,conflicts,100,,101,32.21744600000011
145132123867456546932879789123931234465245586789768179435294134261367567789518892,best_first_graph_search,conflicts,100,,101,454.8787570000002
623123152485467374791895869124234123395518456678679978213712235467345647895689891,best_first_graph_search,conflicts,100,,101,125.90846199999987
912134714345256536678789829681152123293643456457789978231123813456456467789789592,best_first_graph_search,conflicts,100,,101,17.282956000000013
923125134456467567178389829341136182562457346789829957123153246495467578678289319,best_first_graph_search,conflicts,100,,101,121.91844100000026
123192214456435637789687859293264123456571567178893894124124182937567346586389579,best_first_graph_search,conflicts,100,,101,66.98297200000025
234123123789459475615687689123146234468357569579829718123132186794546423856789579,best_first_graph_search,conflicts,100,,101,129.78521199999977
123135823745267459689849716134571125265234364798689789243241123175385465689679789,best_first_graph_search,conflicts,100,,101,118.25605799999994
123238195546561674789794328162134812345567364879892597123312145745456673689789289,best_first_graph_search,conflicts,100,,101,150.71843500000023
123172394467934256895568781271821123345753576896469489812192571345346236679785849,best_first_graph_search,conflicts,100,,101,129.14838599999985
123162231459453475678879698134123235657457684829896719215182345463356128789947679,best_first_graph_search,conflicts,100,,101,159.7087849999998
123235126465467345789891978482134314376567259591829678123135245456768673789942189,best_first_graph_search,conflicts,100,,101,90.64740900000015
134283129562956345789714678123416128547235456869789379236143123578256457194879869,best_first_graph_search,conflicts,100,,101,56.251667
534258192627641345891739678142312812365467463897895579912234745345156126678789938,best_first_graph_search,conflicts,100,,101,282.644632
253213137461457946789869285346123823815467456927589791192132123734946457568758689,best_first_graph_search,conflicts,100,,101,53.047599999999875
123129143456345295789678678123712245459385897678694361124512123567394567893786894,best_first_graph_search,conflicts,100,,101,84.9429839999998
412213123579546456863789789341124135562576476789839892134231264567456319829789758,best_first_graph_search,conflicts,100,,101,772.7312999999995
123345913456612457789897862613124812478569354259378679237812129458345548169679367,best_first_graph_search,conflicts,100,,101,48.22851100000025
124123371758459245963678689238152134415346562679897789243315123567647457891289869,best_first_graph_search,conflicts,100,,101,157.16755600000033
124123341536964567789785982236312123578456478914897569413234182256685349879719567,best_first_graph_search,conflicts,100,,101,40.07407299999977
