initial,algorithm,heuristic,bound,final,score,explored,time
213263124457574586689891379123123243596456568487789719913178346456253782728649591,hill_climbing,,,713263124452571586689894379123123273596456568847789419913178346456253782728649195,-14,130,0.130782
149234712567856346238917589142128137356356425978749689192613273345284546678795198,hill_climbing,,,149234712567856346238917589142128137956356425378749689192613843345284576678795291,-13,138,0.13595900000000002
416314234327568156589297789612241812345536549789789367132162213456478657789359498,hill_climbing,,,516374234327568156489291789612243812345516945789789367132162583456478627789359491,-13,200,0.19446499999999994
123189143456536256789742789132123234456456598789789176723124142516795637849683895,hill_climbing,,,123849143456536256789712789132123234456456978789789516723124142516975637849683895,-14,234,0.22311199999999998
123156123456937456789842789236123214574864596198579738528123176346567253791894489,hill_climbing,,,123156123456937456789842789934123214572684596618579738821423165346567273795891489,-8,311,0.304999
134614132675253495892789678124134123596725457378698986283521134564347526719689789,hill_climbing,,,134416132672253495895789678124134123596875457378692986283521134561347526749689789,-13,105,0.10950199999999999
139214234245573687768689195245123128781945345369678679124234149356586325789791867,hill_climbing,,,178214234245537687963689591246123128781945345539678679124234143356586925789791867,-13,219,0.21918100000000007
841123231273456467569789859124123524563654317789789689413932123967851456285467798,hill_climbing,,,841123231273456567569789849124123925563654317789789684413935123967812456285467798,-11,219,0.20815799999999984
354123162761456357892789894139124123426359456758678789125213312846487456793956789,hill_climbing,,,354123162761456375892789894139124123426359456758678798125263312846487456793915789,-15,124,0.12139599999999984
284721235561346697739589841173124126245563458869789739123347512456158637789629894,hill_climbing,,,284721235561346697739589841173124126842563458569789379123347512456218637789659894,-10,171,0.16746299999999992
128273145345145368679869297512134124346586578789729639234251142157367358689849769,hill_climbing,,,128273145345645268679819397512134124346586578789729639234251182157367354689849769,-12,76,0.07645100000000005
185142912346678345729359678312235263456461457897798819162456123394738574578129869,hill_climbing,,,185142912346678345729359678712235263456961457893748819192456123364728584578139769,-12,118,0.11925799999999986
182364124345172356679859879125192234678345157349678689172213294346458351859679678,hill_climbing,,,182364142345172356679859879125192234678345167439678589172213294346458751859679638,-18,114,0.11292900000000028
234134173715578246869692958152142184934356527678789693234125132567864457891793896,hill_climbing,,,234134173815578246769692958152142184394356527678789693234125136567863457891794892,-16,129,0.1268180000000001
123123134567954567894786829173152162459486378682793594123172142456345536789689789,hill_climbing,,,123123134567954567894786829173152162459436378682798495123172142456345536789689789,-14,49,0.04893400000000003
123231624467485573859769891123134823456526417978789965182215179345367283697849456,hill_climbing,,,123238624467415573859769891193134823456526417278789965182512179345367283697849456,-18,108,0.10595999999999961
123172128467835345895694679235124314168537952947689678516341123289625564347798789,hill_climbing,,,153172821467835345892694679235124314168537952974689678516348123289651564347792789,-11,157,0.15784399999999987
123152123657394457489768869129435136456261578783789924123132213576457485849689679,hill_climbing,,,123172123657394457489568869129435136456261578783789942123139283576457415849682679,-15,99,0.09988299999999972
213183273458462456679759819142123718567567523893489496263245127941368458578971639,hill_climbing,,,213183273458462456679759819142123715567567923893489486263245127941368458578971639,-14,60,0.05968099999999987
912712512345634647867589839124173134573264576896589289239136123456478675781952489,hill_climbing,,,812712312345634697967589854124367134573214576896589289239136123456478675781925489,-14,171,0.1756190000000002
346241127152685364789739589123813249456524163789679875182235213347647456569819789,hill_climbing,,,346247126251685374789139589123413245456528967789679831172235213348617456569849789,-15,253,0.2520579999999999
145132123867456546932879789123931234465245586789768179435294134261367567789518892,hill_climbing,,,145137123867456546932829789123971238465245516789638479235294134961367567784518892,-16,211,0.21010099999999987
623123152485467374791895869124234123395518456678679978213712235467345647895689891,hill_climbing,,,326193142485467375791825869129234123345518456678679978513712235467345687892689491,-13,137,0.13923599999999992
912134714345256536678789829681152123293643456457789978231123813456456467789789592,hill_climbing,,,912138714345256536678749829861352123293641456457789978132123613456456287789789594,-18,193,0.187106
923125134456467567178389829341136182562457346789829957123153246495467578678289319,hill_climbing,,,923528134416467527578319869342136182561457346789829957123153246495467378678289519,-9,158,0.1599520000000001
123192214456435637789687859293264123456571567178893894124124182937567346586389579,hill_climbing,,,123142214456935637789687859193264123456571567278893894126124182937567346584389579,-17,84,0.083507
234123123789459475615687689123146234468357569579829718123132186794546423856789579,hill_climbing,,,234123723789459415615687689123146234468357561579829798123142136794536482856789579,-18,111,0.11479700000000026
123135823745267459689849716134571125265234364798689789243241123175385465689679789,hill_climbing,,,123135923475267458689849716134751125865234364792689789248241123671385465359679789,-18,220,0.22057600000000033
123238195546561674789794328162134812345567364879892597123312145745456673689789289,hill_climbing,,,123238154546561679789794328152134812348567364679892597123312145845456673679789289,-17,140,0.1406350000000005
123172394467934256895568781271821123345753576896469489812192571345346236679785849,hill_climbing,,,123172394457934156896568782761825123345713576892469489812192571345546236679783849,-18,151,0.15402399999999972
123162231459453475678879698134123235657457684829896719215182345463356128789947679,hill_climbing,,,123162237459453415678879698134623235657457681829891749215182345364356128789947679,-19,114,0.11442999999999959
123235126465467345789891978482134314376567259591829678123135245456768673789942189,hill_climbing,,,127235126465467345389891978862134394374567251591829678123135245456782673789946189,-12,199,0.19783300000000015
134283129562956345789714678123416128547235456869789379236143123578256457194879869,hill_climbing,,,134283129265956345789714678123416128547235456869789379236149123578356467491872859,-17,124,0.1247000000000007
534258192627641345891739678142312812365467463897895579912234745345156126678789938,hill_climbing,,,534258192627641345891739678142512612365467483897893579912234756345156124678789938,-16,144,0.1403850000000002
253213137461457946789869285346123823815467456927589791192132123734946457568758689,hill_climbing,,,253263137461457946789819285346123823815467456927589791192135123734926457568748689,-15,103,0.10135700000000014
123129143456345295789678678123712245459385897678694361124512123567394567893786894,hill_climbing,,,123129143476345925589678678923812245451375896678694731124512413567394567893786892,-13,174,0.18039399999999972
412213123579546456863789789341124135562576476789839892134231264567456319829789758,hill_climbing,,,812273123579146456436589789342124135561573476789869892134231257267456319859789648,-15,367,0.35429200000000005
123345913456612457789897862613124812478569354259378679237812129458345548169679367,hill_climbing,,,123345913456621457789897826613124512478569384529378679237812129458345748169679365,-18,136,0.13575599999999977
124123371758459245963678689238152134415346562679897789243315123567647457891289869,hill_climbing,,,154123397768459245923678681238152134415347562679896789243615123567347458891289769,-11,195,0.19424300000000017
124123341536964567789785982236312123578456478914897569413234182256685349879719567,hill_climbing,,,124123341536964567789785982236312123578456478914897569713234182256685349849719567,-25,40,0.03834800000000005
135125324462346751789789698123273125495814346678956789123123123647458457589679689,hill_climbing,,,135125374264346951789789628123293125495817346678456789143123127627458453589679689,-12,227,0.22018000000000004
