initial,algorithm,heuristic,bound,final,score,explored,time
213263124457574586689891379123123243596456568487789719913178346456253782728649591,hill_climbing,,,713263124452571538689894679123123273596456568847789419913178346456253782728649195,-13,316,0.6306269999999999
149234712567856346238917589142128137356356425978749689192613273345284546678795198,hill_climbing,,,149234712567856346328917589143128137956356425278749689912613873345284516678795294,-12,975,1.957188
416314234327568156589297789612241812345536549789789367132162213456478657789359498,hill_climbing,,,516374234327568156489291789612243812345516945789789367132162583456478627789359491,-13,519,1.0215129999999997
123189143456536256789742789132123234456456598789789176723124142516795637849683895,hill_climbing,,,123948143456536256789712789132123234456456978789789516723124132516395647849687895,-11,786,1.62012
123156123456937456789842789236123214574864596198579738528123176346567253791894489,hill_climbing,,,123156123456937456789842789634123294572684516918579738821423165346567273795891489,-8,566,1.1490250000000009
134614132675253495892789678124134123596725457378698986283521134564347526719689789,hill_climbing,,,134416132672253495895789678124134123596875457378692986283527134561341726749689589,-12,404,0.8018989999999997
139214234245573687768689195245123128781945345369678679124234149356586325789791867,hill_climbing,,,198274234245513687367689591246123128781945345539678679124234143356586925789791867,-11,595,1.1817379999999993
841123231273456467569789859124123524563654317789789689413932123967851456285467798,hill_climbing,,,841123231273456567569789849124123925563654317789789684413935123967812456285467798,-11,327,0.6680419999999998
354123162761456357892789894139124123426359456758678789125213312846487456793956789,hill_climbing,,,354123162761456375892789894139124123426359456758678798125263312846487456793915789,-15,499,0.9827840000000005
284721235561346697739589841173124126245563458869789739123347512456158637789629894,hill_climbing,,,284721235561346697379589841153124126247563458869789379123347512456218637789659894,-10,658,1.2914440000000003
128273145345145368679869297512134124346586578789729639234251142157367358689849769,hill_climbing,,,128273145345645268679819397512134124346526578789789639234251182657367354189849769,-12,304,0.6051960000000012
185142912346678345729359678312235263456461457897798819162456123394738574578129869,hill_climbing,,,185142912346678345729539678712235263456961457893748819192456123364718584578329769,-10,594,1.1606770000000015
182364124345172356679859879125192234678345157349678689172213294346458351859679678,hill_climbing,,,182364142345172356679859879125192234678345167439678589172213294346458751859679638,-18,343,0.668372999999999
234134173715578246869692958152142184934356527678789693234125132567864457891793896,hill_climbing,,,234134173815578246769692958152182164394356527678749398234125136567863457891794892,-14,638,1.256817999999999
123123134567954567894786829173152162459486378682793594123172142456345536789689789,hill_climbing,,,123123134567954567894786829173152162459436378682798495123172142456345536789689789,-14,160,0.33295099999999955
123231624467485573859769891123134823456526417978789965182215179345367283697849456,hill_climbing,,,123238624467415573859769891123134823456576417978289965182415179345367283697829456,-19,430,0.8195309999999996
123172128467835345895694679235124314168537952947689678516341123289625564347798789,hill_climbing,,,153142821467835345892697679235124314168573952974689678516348123289651564347792789,-11,536,1.0693799999999989
