initial,algorithm,heuristic,bound,final,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,best_first_graph_search,most_constrained_cell,100,,101,186.66586999999998
009000700000800006230910000002008007300000020900040000190600270000280040000005108,best_first_graph_search,most_constrained_cell,100,,101,189.13412000000002
406010000020000100500207000600001800000030509080000300030060210000000050000350408,best_first_graph_search,most_constrained_cell,100,,101,121.13677100000001
000189003400030200000042000002000000000000598000000170700000040010790030040003005,best_first_graph_search,most_constrained_cell,100,,101,144.30384900000007
000000000050930000000042000206000010004860090190000030508100076000000053001004000,best_first_graph_search,most_constrained_cell,100,,101,152.770536
000604030005003090002000000000000000090720000300008906080501000004007520010000700,best_first_graph_search,most_constrained_cell,100,,101,200.70692099999997
039010000000073080708000105005000008001900000360000000024000009000080320000001800,best_first_graph_search,most_constrained_cell,100,,101,231.69891700000005
840000001070000400000000050000000504003604010000000609400902000900851000205007008,best_first_graph_search,most_constrained_cell,100,,101,204.36791099999982
004100060061000057002000004009000000020309000050000089005010300800007000003056000,best_first_graph_search,most_constrained_cell,100,,101,138.69482300000004
080701000001000090730500041070000006205003000800000730000000500000150600000620004,best_first_graph_search,most_constrained_cell,100,,101,77.12188600000013
008070000000100300000060207502000000300080070000020630000051040100000008600040700,best_first_graph_search,most_constrained_cell,100,,101,160.28023600000006
085040900000000000029350000300000060000401000007090010060000000090030570000120800,best_first_graph_search,most_constrained_cell,100,,101,161.49913500000002
080060024005102000000050800000090000000000150340000600070200090000008301050009070,best_first_graph_search,most_constrained_cell,100,,101,137.20505100000014
000000070710000200800602950050040080930000020000080603000000002000864000001003006,best_first_graph_search,most_constrained_cell,100,,101,84.1761849999998
000000000000904000094006020070050060009080000002003504000070040000000036780000000,best_first_graph_search,most_constrained_cell,100,,101,208.34792700000025
000001600400080003050060001020000800000020010900700065080205079000007080090040006,best_first_graph_search,most_constrained_cell,100,,101,100.2860539999997
020070108000800000005004000000000300100037902047000000506001000089025004000008000,best_first_graph_search,most_constrained_cell,100,,101,144.53778299999976
000050000650090000400700060009030006000201070003000024000002010006000080040609000,best_first_graph_search,most_constrained_cell,100,,101,197.6997419999998
200080070008002000000050010040000708000000500003400090060000007901300000000071630,best_first_graph_search,most_constrained_cell,100,,101,190.70964000000004
900700500000600040800000039000173000003060070006000200009000000000400605001052400,best_first_graph_search,most_constrained_cell,100,,101,165.3813879999998
006001007102005060000730000003800009000024103000000075080000200007040000500010000,best_first_graph_search,most_constrained_cell,100,,101,164.80429700000013
000002000800000500032070000000930004060000080000760100400090000201300007009510802,best_first_graph_search,most_constrained_cell,100,,101,109.51014799999984
603020050080000004001095060004000003090018000000600900200700000000000040005000801,best_first_graph_search,most_constrained_cell,100,,101,148.92766299999994
900034700000000030000080020680150000090603000007000900201000800000000467000700002,best_first_graph_search,most_constrained_cell,100,,101,171.98716999999988
900105000050000060100380020041036080002000000000020057000050000090000500600200310,best_first_graph_search,most_constrained_cell,100,,101,81.92233299999998
000090200000400030000007050290060000000001000100003004004020080907000046006300000,best_first_graph_search,most_constrained_cell,100,,101,205.57035700000006
000000100000009070615007000000006000000300009570020010000030086790040023800000000,best_first_graph_search,most_constrained_cell,100,,101,244.02543699999978
000000800740200009000040016000570000260000304008000000003001000105380060680000000,best_first_graph_search,most_constrained_cell,100,,101,168.17446500000005
003008095500001004000004320060000800005000060800002007000300000700050603080000200,best_first_graph_search,most_constrained_cell,100,,101,216.0841929999997
000072090060900200005000001270801000000750006006000400800090570000300000000005040,best_first_graph_search,most_constrained_cell,100,,101,163.26562299999932
000060001009003070008070090000100200600000004020006710200080000403000128000940000,best_first_graph_search,most_constrained_cell,100,,101,208.4756239999997
