initial,algorithm,heuristic,bound,final,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,best_first_graph_search,<lambda>,10000,214867459337594186866591327552716943191385268486926715915278634643159872728643591,2,2.877054
009000700000800006230910004002008007300000020900040000198634275000281040000795108,best_first_graph_search,<lambda>,10000,849563712571822396236917584612358437354176829987346651198634275765281943423795168,1,2.246654
406010000020000100500207000600001800000030509080000300030060217000000050000350408,best_first_graph_search,<lambda>,10000,496515722727643185518297643653921874274838569989575361835469217274184956161352498,1,2.0474069999999998
627189453400637209000542607002900364000000598000000172700200941215794836946813725,best_first_graph_search,<lambda>,10000,627189453451637289893542617582971364174326598369458172738265941215794836946813725,1,1.5275630000000007
000000000050930000000042000206000010004860090190000030508100076000000053001004000,best_first_graph_search,<lambda>,10000,942615387657938241813742965286359714734861592195427638528193476479286153361574829,1,2.001151
070604030005003090002000000000000000090720000300008906080501000004007520010000700,best_first_graph_search,<lambda>,10000,179684235845173694862975614756319482498726153321458976687591349934867521513242768,1,1.7362110000000008
039010000000073080748000105005000008001900000360000000024000009000080320000001800,best_first_graph_search,<lambda>,10000,639815742512473986748692135295134678481967253367258491824736519176589324953241867,1,0.9196270000000002
840000001070000400000000050000000504003604010000000609400902000900851000205007008,best_first_graph_search,<lambda>,10000,842363791379515486169248753768199524593624817724188639487932165936851272215467948,2,0.9100289999999998
004100060061000057002000004009000000028309000057000089005010300806007000003056000,best_first_graph_search,<lambda>,10000,794125968361894257582763114649581773628379545157642289275418396816937522913256841,3,3.1225320000000014
080701000001000090730500041070000006205003000800000730000000500000150600000620004,best_first_graph_search,<lambda>,10000,982741365541336892736592841379814256265973418814265739627489573428159673153627984,1,0.8354379999999999
008070000000190300000060207502010000300080070000020630000051940100030508600040700,best_first_graph_search,<lambda>,10000,238375419475192386931468257562713894349586172781924635827651943194237568653849721,2,1.4476829999999978
085040900000000000029350000310000060050401000047090010060000000090030570000120800,best_first_graph_search,<lambda>,10000,185742936473819652429356187312585764856471299647293318561987423298634571534127846,2,1.449669
080060024005102000000050800000090000000000150340000680070200090000008301050009070,best_first_graph_search,<lambda>,10000,181963524495182736236457819517696243762844153349521687673215498924778361858319472,1,1.4495180000000012
000000070710000200843672951050040080930000020000080603000000002000864000001003006,best_first_graph_search,<lambda>,10000,625491378719435268843672951252146789938756124477289613366517842329864597581923846,1,1.2281929999999974
000000000000904000094006020070050060009080000002003504000070040000000036780000000,best_first_graph_search,<lambda>,10000,618527499527934681394816725473159268159482373862793514231675148945248136786361952,2,2.1106729999999985
