initial,algorithm,heuristic,bound,final,score,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,depth_first_graph_search,,100,239765194557934286865781354172995648193487625485326719916278433744153962328649571,81,11,24.993412000000003
009000700000800006230910004002008007300000020900040000198634275000281040000795108,depth_first_graph_search,,100,889456712741823956235917884512368497364579821987142563198634275753281649426795138,81,1,2.7071669999999983
406010000020000100500207000600001800000030509080000300030060217000000050000350408,depth_first_graph_search,,100,476513982329684185519287634653791842741836529982745376835469217264178953197352468,81,4,7.696944000000002
627189453400637209000542607002900364000000598000000172700200941215794836946813725,depth_first_graph_search,,100,627189453451637289893542617582978364374421598899356172738265941215794836946813725,81,4,3.4050829999999976
000000000050930000000042000206000010004860090190000030508100076000000053001004000,depth_first_graph_search,,100,862715349457936821813742569286359714774861295195427638528193476649288153331674982,81,3,10.227749999999993
070604030005003090002000000000000000090720000300008906080501000004007520010000700,depth_first_graph_search,,100,978614235165283194462175687746339852896725314321458976287561449634997521519842763,81,3,5.072088000000001
039010000000073080748000105005000008001900000360000000024000009000080320000001800,depth_first_graph_search,,100,239814476116573982748296135475362698481965253362848751624737519557689324993451867,81,5,7.2985299999999995
840000001070000400000000050000000504003604010000000609400902000900851000205007008,depth_first_graph_search,,100,842539721679538496319726853796113584593684217124275639488962175967851342235447968,81,13,17.207552000000007
004100060061000057002000004009000000028309000057000089005010300806007000003056000,depth_first_graph_search,,100,534172968961824257782765134649581623628349471357621489275918346896237515113456792,81,6,5.811382000000009
080701000001000090730500041070000006205003000800000730000000500000150600000620004,depth_first_graph_search,,100,982741365451336897736592841379814256265973418844265739697439522422157683513628974,81,7,13.485754
008070000000190300000060207502010000300080070000020630000051940100030508600040700,depth_first_graph_search,,100,268575191277194355451368297592713484396486172814725639733251946149237568685849723,81,6,14.427039999999991
085040900000000000029350000310000060050401000047090010060000000090030570000120800,depth_first_graph_search,,100,185746921736218457429356687318572469952461738647893215264785193891634572573129846,81,12,29.270025000000004
080060024005102000000050800000090000000000150340000680070200090000008301050009070,depth_first_graph_search,,100,181963724735182963629457813522691437967834152341725689473216598296578341858349276,81,5,5.656761000000017
000000070710000200843672951050040080930000020000080603000000002000864000001003006,depth_first_graph_search,,100,526431874719538264843672951652349187938716425174285693465197832397864515281953746,81,3,7.540764999999993
000000000000904000094006020070050060009080000002003504000070040000000036780000000,depth_first_graph_search,,100,117528493815924673194736825478259361539687212662613584956371248241895736783462159,81,6,15.986194000000012
000001600400080003050060001020000800000020010900700065080205079000007080090040006,depth_first_graph_search,,100,239571648471982523859364791526494837343826917918713465684235179165997384397148256,81,6,14.190976000000006
020070108000800000005004000002000300108037902047000000506001000089025004000008000,depth_first_graph_search,,100,423576198761893425895214736652189347158637942947652861576941283389725614214368579,81,2,5.86755500000001
000050090650090040400700060009030056000201070003000024000002010006000080040609030,depth_first_graph_search,,100,778156892652398741491728365229837156865241973113965824337582619116473589845619237,81,7,10.724299000000002
200080070008002000000050010040000708000000500003400090060000007901300000000071630,depth_first_graph_search,,100,219183476618112359637753819142539768792996543853427192365844927971365284484271635,81,7,10.575649999999996
900700500000600040800000039000173000003060070006000200009000000000400605001052400,depth_first_graph_search,,100,944731586355689741865524739422173956493265178716948253579316822288497615631852497,81,5,10.531790999999998
006001007102005060000730000003800009000024183000000075080000200007040000500010000,depth_first_graph_search,,100,396281547172495368895736912413857629769524183828369475981673254237648991544912736,81,5,17.145494999999983
000052000800040500032070000000930004060020080000760100480090000251380007079510802,depth_first_graph_search,,100,114652718897143536532678948128935674763421985948765123486297351251386497379514862,81,4,8.881034999999997
603020050080000004001095060004000003090018000000600900200700000000000040005000801,depth_first_graph_search,,100,673824158589167234421895767154979683397318425852642917246781599718259346935436871,81,6,11.227933000000007
